el pretérito perfecto simple,-ar,-er,-ir
yo,é,í,í
tú,aste,iste,iste
él, ella, usted,ó,ió,ió
nosotros, nosotras,amos,imos,imos
vosotros, vosotras,asteis,isteis,isteis
ellos, ellas, ustedes,aron,ieron,ieron
