el presente del indicativo,o,as,a,amos,áis,an,o,es,e,emos,éis,en,o,es,e,imos,ís,en
el futuro simple,aré,arás,ará,aremos,aréis,arán,eré,erás,erá,eremos,eréis,erán,iré,irás,irá,iremos,iréis,irán
